stem,country,status,n_chains,draws_per_chain_min,draws_per_chain_max,parameters_diagnosed,parameters_converged,worst_rhat_rank,min_bulk_ess,min_tail_ess,transition_rate_min,transition_rate_mean,unique_states_min,unique_states_mean,accepted_fraction_min,accepted_fraction_mean,accepted_fraction_max,posterior_log_prob_mean,posterior_log_prob_max
ident_smoke_standard_adapt_s04_w20d20,South_Africa,ok,4,20,20,6,0,7.622252495825595,4.7075061860432585,5.756833741442207,0.2631578947368421,0.35526315789473684,6,7.75,0.35,0.4125,0.45,-422.4242343986278,-367.8148101892761
ident_smoke_standard_adapt_s04_w20d20,Thailand,ok,4,20,20,6,0,25.26946349191593,4.707656784477122,5.0356540116464705,0.2631578947368421,0.2763157894736842,6,6.25,0.25,0.34375,0.4,-1169.1651603275136,-1163.2932538535806
ident_smoke_standard_adapt_s04_w20d20,Japan,ok,4,20,20,6,0,5.366253199500308,4.80029645229381,5.322850353507202,0.15789473684210525,0.21052631578947367,4,5.0,0.225,0.29375,0.325,-2211.5114569901953,-2176.786053045239
ident_smoke_standard_adapt_s04_w20d20,China,ok,4,20,20,6,0,3.5942798693050055,4.813395861939777,5.231164176212734,0.15789473684210525,0.2894736842105263,4,6.5,0.275,0.34375,0.375,-4203.744643610544,-4147.94347312359
ident_smoke_product_adapt_s04_w20d20,South_Africa,ok,4,20,20,6,0,7.622252495825595,4.708064439370395,5.231164176212734,0.2631578947368421,0.39473684210526316,6,8.5,0.35,0.43124999999999997,0.525,-422.4185547141877,-370.0609437904986
ident_smoke_product_adapt_s04_w20d20,Thailand,ok,4,20,20,6,0,25.26946349191593,4.707656784477122,5.0356540116464705,0.2631578947368421,0.2894736842105263,6,6.5,0.25,0.35,0.4,-1168.8256964144337,-1163.4336687789782
ident_smoke_product_adapt_s04_w20d20,Japan,ok,4,20,20,6,0,4.528732794738313,4.856250553381513,5.523968121803259,0.0,0.23684210526315788,1,5.5,0.25,0.30625,0.375,-2212.164927251335,-2187.365574833179
ident_smoke_product_adapt_s04_w20d20,China,ok,4,20,20,6,0,4.497505830428911,4.783064598163763,5.231164176212734,0.10526315789473684,0.25,3,5.75,0.25,0.325,0.375,-4221.919626354946,-4147.1110007084035
ident_smoke_tight_report_beta_adapt_s04_w20d20,South_Africa,ok,4,20,20,6,0,7.622252495825595,4.7075061860432585,5.756833741442207,0.2631578947368421,0.35526315789473684,6,7.75,0.35,0.4125,0.45,-419.87989814881274,-365.2768485108117
ident_smoke_tight_report_beta_adapt_s04_w20d20,Thailand,ok,4,20,20,6,0,25.26946349191593,4.707656784477122,5.0356540116464705,0.2631578947368421,0.2763157894736842,6,6.25,0.25,0.34375,0.4,-1166.6191655351715,-1160.7530655600729
ident_smoke_tight_report_beta_adapt_s04_w20d20,Japan,ok,4,20,20,6,0,5.366253199500308,4.80029645229381,5.322850353507202,0.15789473684210525,0.21052631578947367,4,5.0,0.225,0.29375,0.325,-2208.9950587706385,-2174.379273418627
ident_smoke_tight_report_beta_adapt_s04_w20d20,China,ok,4,20,20,6,0,3.5942798693050055,4.813395861939777,5.231164176212734,0.15789473684210525,0.2894736842105263,4,6.5,0.275,0.34375,0.375,-4201.235437338693,-4145.458752069996
ident_smoke_fixreport_adapt_s04_w20d20,South_Africa,ok,4,20,20,5,0,3.246844714175839,4.94036102826452,6.070224161872645,0.15789473684210525,0.32894736842105265,4,7.25,0.2,0.325,0.4,-433.1953461510651,-421.1616740336399
