country,iso3,year,age_group,population,source,source_type
Australia,AUS,2024,infant_0_2m,51121.83333333333,UN WPP 2024 one-year age population,derived
Australia,AUS,2024,infant_3_11m,255609.1666666667,UN WPP 2024 one-year age population,derived
Australia,AUS,2024,child_1_4y,1228991.0,UN WPP 2024 one-year age population,derived
Australia,AUS,2024,child_5_9y,1583542.0,UN WPP 2024 one-year age population,derived
Australia,AUS,2024,adolescent_10_17y,2636289.0,UN WPP 2024 one-year age population,derived
Australia,AUS,2024,young_adult_18_39y,7985090.0,UN WPP 2024 one-year age population,derived
Australia,AUS,2024,middle_adult_40_64y,8236312.0,UN WPP 2024 one-year age population,derived
Australia,AUS,2024,elderly_65plus,4736251.0,UN WPP 2024 one-year age population,derived
China,CHN,2024,infant_0_2m,1468107.8333333333,UN WPP 2024 one-year age population,derived
China,CHN,2024,infant_3_11m,7340539.166666667,UN WPP 2024 one-year age population,derived
China,CHN,2024,child_1_4y,43148904.0,UN WPP 2024 one-year age population,derived
China,CHN,2024,child_5_9y,85155016.0,UN WPP 2024 one-year age population,derived
China,CHN,2024,adolescent_10_17y,141093414.0,UN WPP 2024 one-year age population,derived
China,CHN,2024,young_adult_18_39y,419642615.0,UN WPP 2024 one-year age population,derived
China,CHN,2024,middle_adult_40_64y,513325406.0,UN WPP 2024 one-year age population,derived
China,CHN,2024,elderly_65plus,208147283.0,UN WPP 2024 one-year age population,derived
United_Kingdom,GBR,2024,infant_0_2m,115230.16666666666,UN WPP 2024 one-year age population,derived
United_Kingdom,GBR,2024,infant_3_11m,576150.8333333334,UN WPP 2024 one-year age population,derived
United_Kingdom,GBR,2024,child_1_4y,2856855.0,UN WPP 2024 one-year age population,derived
United_Kingdom,GBR,2024,child_5_9y,4039489.0,UN WPP 2024 one-year age population,derived
United_Kingdom,GBR,2024,adolescent_10_17y,6804037.0,UN WPP 2024 one-year age population,derived
United_Kingdom,GBR,2024,young_adult_18_39y,19296288.0,UN WPP 2024 one-year age population,derived
United_Kingdom,GBR,2024,middle_adult_40_64y,21968350.0,UN WPP 2024 one-year age population,derived
United_Kingdom,GBR,2024,elderly_65plus,13481785.0,UN WPP 2024 one-year age population,derived
Japan,JPN,2024,infant_0_2m,125408.0,UN WPP 2024 one-year age population,derived
Japan,JPN,2024,infant_3_11m,627040.0,UN WPP 2024 one-year age population,derived
Japan,JPN,2024,child_1_4y,3260887.0,UN WPP 2024 one-year age population,derived
Japan,JPN,2024,child_5_9y,4806617.0,UN WPP 2024 one-year age population,derived
Japan,JPN,2024,adolescent_10_17y,8703348.0,UN WPP 2024 one-year age population,derived
Japan,JPN,2024,young_adult_18_39y,27262617.0,UN WPP 2024 one-year age population,derived
Japan,JPN,2024,middle_adult_40_64y,42112517.0,UN WPP 2024 one-year age population,derived
Japan,JPN,2024,elderly_65plus,36854608.0,UN WPP 2024 one-year age population,derived
New_Zealand,NZL,2024,infant_0_2m,9896.333333333332,UN WPP 2024 one-year age population,derived
New_Zealand,NZL,2024,infant_3_11m,49481.66666666667,UN WPP 2024 one-year age population,derived
New_Zealand,NZL,2024,child_1_4y,238869.0,UN WPP 2024 one-year age population,derived
New_Zealand,NZL,2024,child_5_9y,312333.0,UN WPP 2024 one-year age population,derived
New_Zealand,NZL,2024,adolescent_10_17y,536280.0,UN WPP 2024 one-year age population,derived
New_Zealand,NZL,2024,young_adult_18_39y,1564291.0,UN WPP 2024 one-year age population,derived
New_Zealand,NZL,2024,middle_adult_40_64y,1606217.0,UN WPP 2024 one-year age population,derived
New_Zealand,NZL,2024,elderly_65plus,896578.0,UN WPP 2024 one-year age population,derived
Sweden,SWE,2024,infant_0_2m,16406.666666666664,UN WPP 2024 one-year age population,derived
Sweden,SWE,2024,infant_3_11m,82033.33333333334,UN WPP 2024 one-year age population,derived
Sweden,SWE,2024,child_1_4y,449688.0,UN WPP 2024 one-year age population,derived
Sweden,SWE,2024,child_5_9y,618565.0,UN WPP 2024 one-year age population,derived
Sweden,SWE,2024,adolescent_10_17y,1011449.0,UN WPP 2024 one-year age population,derived
Sweden,SWE,2024,young_adult_18_39y,2974929.0,UN WPP 2024 one-year age population,derived
Sweden,SWE,2024,middle_adult_40_64y,3253316.0,UN WPP 2024 one-year age population,derived
Sweden,SWE,2024,elderly_65plus,2200608.0,UN WPP 2024 one-year age population,derived
United_States,USA,2024,infant_0_2m,610490.1666666666,UN WPP 2024 one-year age population,derived
United_States,USA,2024,infant_3_11m,3052450.8333333335,UN WPP 2024 one-year age population,derived
United_States,USA,2024,child_1_4y,14886179.0,UN WPP 2024 one-year age population,derived
United_States,USA,2024,child_5_9y,20084177.0,UN WPP 2024 one-year age population,derived
United_States,USA,2024,adolescent_10_17y,34899323.0,UN WPP 2024 one-year age population,derived
United_States,USA,2024,young_adult_18_39y,102518713.0,UN WPP 2024 one-year age population,derived
United_States,USA,2024,middle_adult_40_64y,107444640.0,UN WPP 2024 one-year age population,derived
United_States,USA,2024,elderly_65plus,61930597.0,UN WPP 2024 one-year age population,derived
Brazil,BRA,2024,infant_0_2m,425804.0,UN WPP 2024 one-year age population,derived
Brazil,BRA,2024,infant_3_11m,2129020.0,UN WPP 2024 one-year age population,derived
Brazil,BRA,2024,child_1_4y,10540774.0,UN WPP 2024 one-year age population,derived
Brazil,BRA,2024,child_5_9y,14195459.0,UN WPP 2024 one-year age population,derived
Brazil,BRA,2024,adolescent_10_17y,23214587.0,UN WPP 2024 one-year age population,derived
Brazil,BRA,2024,young_adult_18_39y,70918547.0,UN WPP 2024 one-year age population,derived
Brazil,BRA,2024,middle_adult_40_64y,67150260.0,UN WPP 2024 one-year age population,derived
Brazil,BRA,2024,elderly_65plus,23424114.0,UN WPP 2024 one-year age population,derived
Thailand,THA,2024,infant_0_2m,97214.5,UN WPP 2024 one-year age population,derived
Thailand,THA,2024,infant_3_11m,486072.5,UN WPP 2024 one-year age population,derived
Thailand,THA,2024,child_1_4y,2447764.0,UN WPP 2024 one-year age population,derived
Thailand,THA,2024,child_5_9y,3513058.0,UN WPP 2024 one-year age population,derived
Thailand,THA,2024,adolescent_10_17y,6553993.0,UN WPP 2024 one-year age population,derived
Thailand,THA,2024,young_adult_18_39y,21580733.0,UN WPP 2024 one-year age population,derived
Thailand,THA,2024,middle_adult_40_64y,25978993.0,UN WPP 2024 one-year age population,derived
Thailand,THA,2024,elderly_65plus,11010184.0,UN WPP 2024 one-year age population,derived
South_Africa,ZAF,2024,infant_0_2m,193662.16666666666,UN WPP 2024 one-year age population,derived
South_Africa,ZAF,2024,infant_3_11m,968310.8333333334,UN WPP 2024 one-year age population,derived
South_Africa,ZAF,2024,child_1_4y,4744680.0,UN WPP 2024 one-year age population,derived
South_Africa,ZAF,2024,child_5_9y,5347584.0,UN WPP 2024 one-year age population,derived
South_Africa,ZAF,2024,adolescent_10_17y,8573726.0,UN WPP 2024 one-year age population,derived
South_Africa,ZAF,2024,young_adult_18_39y,23914530.0,UN WPP 2024 one-year age population,derived
South_Africa,ZAF,2024,middle_adult_40_64y,15982261.0,UN WPP 2024 one-year age population,derived
South_Africa,ZAF,2024,elderly_65plus,4282435.0,UN WPP 2024 one-year age population,derived
